At time                    0 ns, TMS = 0, STATE(hex) = 0
At time                   10 ns, TMS = 0, STATE(hex) = 1
At time                   12 ns, TMS = 1, STATE(hex) = 1
At time                   14 ns, TMS = 1, STATE(hex) = 2
At time                   16 ns, TMS = 1, STATE(hex) = 9
At time                   18 ns, TMS = 1, STATE(hex) = 0
At time                   24 ns, TMS = 0, STATE(hex) = 0
At time                   26 ns, TMS = 0, STATE(hex) = 1
At time                   26 ns, TMS = 1, STATE(hex) = 1
At time                   28 ns, TMS = 1, STATE(hex) = 2
At time                   30 ns, TMS = 1, STATE(hex) = 9
At time                   30 ns, TMS = 0, STATE(hex) = 9
At time                   32 ns, TMS = 0, STATE(hex) = a
At time                   32 ns, TMS = 1, STATE(hex) = a
At time                   34 ns, TMS = 1, STATE(hex) = c
At time                   36 ns, TMS = 1, STATE(hex) = f
At time                   36 ns, TMS = 0, STATE(hex) = f
At time                   38 ns, TMS = 0, STATE(hex) = 1
At time                   38 ns, TMS = 1, STATE(hex) = 1
At time                   40 ns, TMS = 1, STATE(hex) = 2
At time                   40 ns, TMS = 0, STATE(hex) = 2
At time                   42 ns, TMS = 0, STATE(hex) = 3
At time                   42 ns, TMS = 1, STATE(hex) = 3
At time                   44 ns, TMS = 1, STATE(hex) = 5
At time                   44 ns, TMS = 0, STATE(hex) = 5
At time                   46 ns, TMS = 0, STATE(hex) = 6
At time                   46 ns, TMS = 1, STATE(hex) = 6
At time                   48 ns, TMS = 1, STATE(hex) = 7
At time                   50 ns, TMS = 1, STATE(hex) = 8
At time                   50 ns, TMS = 0, STATE(hex) = 8
At time                   52 ns, TMS = 0, STATE(hex) = 1
At time                   52 ns, TMS = 1, STATE(hex) = 1
At time                   54 ns, TMS = 1, STATE(hex) = 2
At time                   54 ns, TMS = 0, STATE(hex) = 2
At time                   56 ns, TMS = 0, STATE(hex) = 3
At time                   58 ns, TMS = 0, STATE(hex) = 4
At time                   60 ns, TMS = 1, STATE(hex) = 4
At time                   62 ns, TMS = 1, STATE(hex) = 5
At time                   62 ns, TMS = 0, STATE(hex) = 5
At time                   64 ns, TMS = 0, STATE(hex) = 6
At time                   64 ns, TMS = 1, STATE(hex) = 6
At time                   66 ns, TMS = 1, STATE(hex) = 7
At time                   68 ns, TMS = 1, STATE(hex) = 8
At time                   70 ns, TMS = 1, STATE(hex) = 2
At time                   72 ns, TMS = 1, STATE(hex) = 9
At time                   72 ns, TMS = 0, STATE(hex) = 9
At time                   74 ns, TMS = 0, STATE(hex) = a
At time                   76 ns, TMS = 0, STATE(hex) = b
At time                   80 ns, TMS = 1, STATE(hex) = b
At time                   82 ns, TMS = 1, STATE(hex) = c
At time                   82 ns, TMS = 0, STATE(hex) = c
At time                   84 ns, TMS = 0, STATE(hex) = d
At time                   84 ns, TMS = 1, STATE(hex) = d
At time                   86 ns, TMS = 1, STATE(hex) = e
At time                   88 ns, TMS = 1, STATE(hex) = f
At time                   90 ns, TMS = 1, STATE(hex) = 2
At time                   92 ns, TMS = 1, STATE(hex) = 9
At time                   94 ns, TMS = 1, STATE(hex) = 0
At time                   94 ns, TMS = 0, STATE(hex) = 0
At time                   96 ns, TMS = 0, STATE(hex) = 1
At time                   98 ns, TMS = 1, STATE(hex) = 1
At time                  100 ns, TMS = 1, STATE(hex) = 2
At time                  102 ns, TMS = 1, STATE(hex) = 9
At time                  104 ns, TMS = 1, STATE(hex) = 0
At time                  104 ns, TMS = 0, STATE(hex) = 0
At time                  106 ns, TMS = 0, STATE(hex) = 1
At time                  114 ns, TMS = 1, STATE(hex) = 1
At time                  116 ns, TMS = 1, STATE(hex) = 2
At time                  116 ns, TMS = 0, STATE(hex) = 2
At time                  118 ns, TMS = 0, STATE(hex) = 3
At time                  120 ns, TMS = 0, STATE(hex) = 4
At time                  120 ns, TMS = 1, STATE(hex) = 4
At time                  122 ns, TMS = 1, STATE(hex) = 5
At time                  124 ns, TMS = 1, STATE(hex) = 8
At time                  124 ns, TMS = 0, STATE(hex) = 8
At time                  126 ns, TMS = 0, STATE(hex) = 1
At time                  134 ns, TMS = 1, STATE(hex) = 1
At time                  136 ns, TMS = 1, STATE(hex) = 2
