
<InA = 0, InB = 0, Product = 0, Expected = 0>
<InA = 0, InB = 1, Product = 0, Expected = 0>
<InA = 0, InB = 2, Product = 0, Expected = 0>
<InA = 0, InB = 3, Product = 0, Expected = 0>
<InA = 0, InB = 4, Product = 0, Expected = 0>
<InA = 0, InB = 5, Product = 0, Expected = 0>
<InA = 0, InB = 6, Product = 0, Expected = 0>
<InA = 0, InB = 7, Product = 0, Expected = 0>
<InA = 0, InB = 8, Product = 0, Expected = 0>
<InA = 0, InB = 9, Product = 0, Expected = 0>
<InA = 0, InB = 10, Product = 0, Expected = 0>
<InA = 0, InB = 11, Product = 0, Expected = 0>
<InA = 0, InB = 12, Product = 0, Expected = 0>
<InA = 0, InB = 13, Product = 0, Expected = 0>
<InA = 0, InB = 14, Product = 0, Expected = 0>
<InA = 0, InB = 15, Product = 0, Expected = 0>
<InA = 1, InB = 0, Product = 0, Expected = 0>
<InA = 1, InB = 1, Product = 1, Expected = 1>
<InA = 1, InB = 2, Product = 2, Expected = 2>
<InA = 1, InB = 3, Product = 3, Expected = 3>
<InA = 1, InB = 4, Product = 4, Expected = 4>
<InA = 1, InB = 5, Product = 5, Expected = 5>
<InA = 1, InB = 6, Product = 6, Expected = 6>
<InA = 1, InB = 7, Product = 7, Expected = 7>
<InA = 1, InB = 8, Product = 8, Expected = 8>
<InA = 1, InB = 9, Product = 9, Expected = 9>
<InA = 1, InB = 10, Product = 10, Expected = 10>
<InA = 1, InB = 11, Product = 11, Expected = 11>
<InA = 1, InB = 12, Product = 12, Expected = 12>
<InA = 1, InB = 13, Product = 13, Expected = 13>
<InA = 1, InB = 14, Product = 14, Expected = 14>
<InA = 1, InB = 15, Product = 15, Expected = 15>
<InA = 2, InB = 0, Product = 0, Expected = 0>
<InA = 2, InB = 1, Product = 2, Expected = 2>
<InA = 2, InB = 2, Product = 4, Expected = 4>
<InA = 2, InB = 3, Product = 6, Expected = 6>
<InA = 2, InB = 4, Product = 8, Expected = 8>
<InA = 2, InB = 5, Product = 10, Expected = 10>
<InA = 2, InB = 6, Product = 12, Expected = 12>
<InA = 2, InB = 7, Product = 14, Expected = 14>
<InA = 2, InB = 8, Product = 16, Expected = 16>
<InA = 2, InB = 9, Product = 18, Expected = 18>
<InA = 2, InB = 10, Product = 20, Expected = 20>
<InA = 2, InB = 11, Product = 22, Expected = 22>
<InA = 2, InB = 12, Product = 24, Expected = 24>
<InA = 2, InB = 13, Product = 26, Expected = 26>
<InA = 2, InB = 14, Product = 28, Expected = 28>
<InA = 2, InB = 15, Product = 30, Expected = 30>
<InA = 3, InB = 0, Product = 0, Expected = 0>
<InA = 3, InB = 1, Product = 3, Expected = 3>
<InA = 3, InB = 2, Product = 6, Expected = 6>
<InA = 3, InB = 3, Product = 9, Expected = 9>
<InA = 3, InB = 4, Product = 12, Expected = 12>
<InA = 3, InB = 5, Product = 15, Expected = 15>
<InA = 3, InB = 6, Product = 18, Expected = 18>
<InA = 3, InB = 7, Product = 21, Expected = 21>
<InA = 3, InB = 8, Product = 24, Expected = 24>
<InA = 3, InB = 9, Product = 27, Expected = 27>
<InA = 3, InB = 10, Product = 30, Expected = 30>
<InA = 3, InB = 11, Product = 33, Expected = 33>
<InA = 3, InB = 12, Product = 36, Expected = 36>
<InA = 3, InB = 13, Product = 39, Expected = 39>
<InA = 3, InB = 14, Product = 42, Expected = 42>
<InA = 3, InB = 15, Product = 45, Expected = 45>
<InA = 4, InB = 0, Product = 0, Expected = 0>
<InA = 4, InB = 1, Product = 4, Expected = 4>
<InA = 4, InB = 2, Product = 8, Expected = 8>
<InA = 4, InB = 3, Product = 12, Expected = 12>
<InA = 4, InB = 4, Product = 16, Expected = 16>
<InA = 4, InB = 5, Product = 20, Expected = 20>
<InA = 4, InB = 6, Product = 24, Expected = 24>
<InA = 4, InB = 7, Product = 28, Expected = 28>
<InA = 4, InB = 8, Product = 32, Expected = 32>
<InA = 4, InB = 9, Product = 36, Expected = 36>
<InA = 4, InB = 10, Product = 40, Expected = 40>
<InA = 4, InB = 11, Product = 44, Expected = 44>
<InA = 4, InB = 12, Product = 48, Expected = 48>
<InA = 4, InB = 13, Product = 52, Expected = 52>
<InA = 4, InB = 14, Product = 56, Expected = 56>
<InA = 4, InB = 15, Product = 60, Expected = 60>
<InA = 5, InB = 0, Product = 0, Expected = 0>
<InA = 5, InB = 1, Product = 5, Expected = 5>
<InA = 5, InB = 2, Product = 10, Expected = 10>
